code,name,description,category,url,status
21030,Pan African Institute for Development,,,,active
21031,PANOS Institute,,,,active
21032,Population Services International,,,,active
21033,Transparency International,,,,active
21034,International Union Against Tuberculosis and Lung Disease,,,,active
21035,World Organisation Against Torture,,,,active
21036,World University Service,,,,active
21037,Women's World Banking,,,,active
21038,International Alert,,,,active
21039,International Institute for Sustainable Development,,,,active
21040,International Women's Tribune Centre,,,,active
21041,Society for International Development,,,,active
21042,International Peacebuilding Alliance,,,,active
21043,European Parliamentarians for Africa,,,,active
21044,International Council for the Control of Iodine Deficiency Disorders,,,,active
21045,African Medical and Research Foundation,,,,active
21046,Agency for Cooperation and Research in Development,,,,active
21047,AgriCord,,,,active
21048,Association of African Universities,,,,active
21049,European Centre for Development Policy Management,,,,active
21050,Geneva Call,,,,active
21051,Institut Supérieur Panafricaine d'Economie Coopérative,,,,active
21053,"IPAS-Protecting Women's Health, Advancing Women's Reproductive Rights",,,,active
21054,Life and Peace Institute,,,,active
21055,Regional AIDS Training Network,,,,active
21056,Renewable Energy and Energy Efficiency Partnership,,,,active
21057,International Centre for Transitional Justice,,,,active
30001,Global Alliance for Improved Nutrition,,,,active
30003,Global e-Schools and Communities Initiative,,,,active
30004,Global Water Partnership,,,,active
30005,International AIDS Vaccine Initiative,,,,active
30006,International Partnership on Microbicides,,,,active
30007,Global Alliance for ICT and Development,,,,active
30008,Cities Alliance,,,,active
30009,Small Arms Survey,,,,active
30010,International drug purchase facility,,,,active
30011,International Union for the Conservation of Nature,,,,active
31001,Global Development Network,,,,active
31002,Global Knowledge Partnership,,,,active
