code,name,description,language,category,category-name,category-description
application/vnd.dece.zip,,,en,application,,
application/vnd.denovo.fcselayout-link,,,en,application,,
application/vnd.desmume.movie,,,en,application,,
application/vnd.dir-bi.plate-dl-nosuffix,,,en,application,,
application/vnd.dm.delegation+xml,,,en,application,,
application/vnd.dna,,,en,application,,
application/vnd.document+json,,,en,application,,
application/vnd.dolby.mobile.1,,,en,application,,
application/vnd.dolby.mobile.2,,,en,application,,
application/vnd.doremir.scorecloud-binary-document,,,en,application,,
application/vnd.dpgraph,,,en,application,,
application/vnd.dreamfactory,,,en,application,,
application/vnd.drive+json,,,en,application,,
application/vnd.dtg.local,,,en,application,,
application/vnd.dtg.local.flash,,,en,application,,
application/vnd.dtg.local.html,,,en,application,,
application/vnd.dvb.ait,,,en,application,,
application/vnd.dvb.dvbj,,,en,application,,
application/vnd.dvb.esgcontainer,,,en,application,,
application/vnd.dvb.ipdcdftnotifaccess,,,en,application,,
application/vnd.dvb.ipdcesgaccess,,,en,application,,
application/vnd.dvb.ipdcesgaccess2,,,en,application,,
application/vnd.dvb.ipdcesgpdd,,,en,application,,
application/vnd.dvb.ipdcroaming,,,en,application,,
application/vnd.dvb.iptv.alfec-base,,,en,application,,
application/vnd.dvb.iptv.alfec-enhancement,,,en,application,,
application/vnd.dvb.notif-aggregate-root+xml,,,en,application,,
application/vnd.dvb.notif-container+xml,,,en,application,,
application/vnd.dvb.notif-generic+xml,,,en,application,,
application/vnd.dvb.notif-ia-msglist+xml,,,en,application,,
application/vnd.dvb.notif-ia-registration-request+xml,,,en,application,,
application/vnd.dvb.notif-ia-registration-response+xml,,,en,application,,
application/vnd.dvb.notif-init+xml,,,en,application,,
application/vnd.dvb.pfr,,,en,application,,
application/vnd.dvb.service,,,en,application,,
application/vnd.dxr,,,en,application,,
application/vnd.dynageo,,,en,application,,
application/vnd.dzr,,,en,application,,
application/vnd.easykaraoke.cdgdownload,,,en,application,,
application/vnd.ecdis-update,,,en,application,,
application/vnd.ecowin.chart,,,en,application,,
application/vnd.ecowin.filerequest,,,en,application,,
application/vnd.ecowin.fileupdate,,,en,application,,
application/vnd.ecowin.series,,,en,application,,
application/vnd.ecowin.seriesrequest,,,en,application,,
application/vnd.ecowin.seriesupdate,,,en,application,,
application/vnd.efi.img,,,en,application,,
application/vnd.efi.iso,,,en,application,,
application/vnd.emclient.accessrequest+xml,,,en,application,,
application/vnd.enliven,,,en,application,,
application/vnd.enphase.envoy,,,en,application,,
application/vnd.eprints.data+xml,,,en,application,,
application/vnd.epson.esf,,,en,application,,
application/vnd.epson.msf,,,en,application,,
application/vnd.epson.quickanime,,,en,application,,
application/vnd.epson.salt,,,en,application,,
application/vnd.epson.ssf,,,en,application,,
application/vnd.ericsson.quickcall,,,en,application,,
application/vnd.espass-espass+zip,,,en,application,,
application/vnd.eszigno3+xml,,,en,application,,
application/vnd.etsi.aoc+xml,,,en,application,,
application/vnd.etsi.asic-s+zip,,,en,application,,
application/vnd.etsi.asic-e+zip,,,en,application,,
application/vnd.etsi.cug+xml,,,en,application,,
application/vnd.etsi.iptvcommand+xml,,,en,application,,
application/vnd.etsi.iptvdiscovery+xml,,,en,application,,
application/vnd.etsi.iptvprofile+xml,,,en,application,,
application/vnd.etsi.iptvsad-bc+xml,,,en,application,,
application/vnd.etsi.iptvsad-cod+xml,,,en,application,,
application/vnd.etsi.iptvsad-npvr+xml,,,en,application,,
application/vnd.etsi.iptvservice+xml,,,en,application,,
application/vnd.etsi.iptvsync+xml,,,en,application,,
application/vnd.etsi.iptvueprofile+xml,,,en,application,,
application/vnd.etsi.mcid+xml,,,en,application,,
application/vnd.etsi.mheg5,,,en,application,,
application/vnd.etsi.overload-control-policy-dataset+xml,,,en,application,,
application/vnd.etsi.pstn+xml,,,en,application,,
application/vnd.etsi.sci+xml,,,en,application,,
application/vnd.etsi.simservs+xml,,,en,application,,
application/vnd.etsi.timestamp-token,,,en,application,,
application/vnd.etsi.tsl+xml,,,en,application,,
application/vnd.etsi.tsl.der,,,en,application,,
application/vnd.evolv.ecig.theme,,,en,application,,
application/vnd.eudora.data,,,en,application,,
application/vnd.ezpix-album,,,en,application,,
application/vnd.ezpix-package,,,en,application,,
application/vnd.f-secure.mobile,,,en,application,,
application/vnd.fastcopy-disk-image,,,en,application,,
application/vnd.fdf,,,en,application,,
application/vnd.fdsn.mseed,,,en,application,,
application/vnd.fdsn.seed,,,en,application,,
application/vnd.ffsns,,,en,application,,
application/vnd.filmit.zfc,,,en,application,,
application/vnd.fints,,,en,application,,
application/vnd.firemonkeys.cloudcell,,,en,application,,
application/vnd.FloGraphIt,,,en,application,,
application/vnd.fluxtime.clip,,,en,application,,
application/vnd.font-fontforge-sfd,,,en,application,,
application/vnd.framemaker,,,en,application,,
application/vnd.frogans.fnc,,,en,application,,
application/vnd.frogans.ltf,,,en,application,,
application/vnd.fsc.weblaunch,,,en,application,,
application/vnd.fujitsu.oasys,,,en,application,,
application/vnd.fujitsu.oasys2,,,en,application,,
application/vnd.fujitsu.oasys3,,,en,application,,
application/vnd.fujitsu.oasysgp,,,en,application,,
application/vnd.fujitsu.oasysprs,,,en,application,,
application/vnd.fujixerox.ART4,,,en,application,,
application/vnd.fujixerox.ART-EX,,,en,application,,
application/vnd.fujixerox.ddd,,,en,application,,
application/vnd.fujixerox.docuworks,,,en,application,,
application/vnd.fujixerox.docuworks.binder,,,en,application,,
application/vnd.fujixerox.docuworks.container,,,en,application,,
application/vnd.fujixerox.HBPL,,,en,application,,
application/vnd.fut-misnet,,,en,application,,
application/vnd.fuzzysheet,,,en,application,,
application/vnd.genomatix.tuxedo,,,en,application,,
application/vnd.geo+json,,,en,application,,
application/vnd.geocube+xml,,,en,application,,
application/vnd.geogebra.file,,,en,application,,
application/vnd.geogebra.tool,,,en,application,,
application/vnd.geometry-explorer,,,en,application,,
application/vnd.geonext,,,en,application,,
application/vnd.geoplan,,,en,application,,
application/vnd.geospace,,,en,application,,
application/vnd.gerber,,,en,application,,
application/vnd.globalplatform.card-content-mgt,,,en,application,,
application/vnd.globalplatform.card-content-mgt-response,,,en,application,,
application/vnd.gmx,,,en,application,,
application/vnd.google-earth.kml+xml,,,en,application,,
application/vnd.google-earth.kmz,,,en,application,,
application/vnd.gov.sk.e-form+xml,,,en,application,,
application/vnd.gov.sk.e-form+zip,,,en,application,,
application/vnd.gov.sk.xmldatacontainer+xml,,,en,application,,
application/vnd.grafeq,,,en,application,,
application/vnd.gridmp,,,en,application,,
application/vnd.groove-account,,,en,application,,
application/vnd.groove-help,,,en,application,,
application/vnd.groove-identity-message,,,en,application,,
application/vnd.groove-injector,,,en,application,,
application/vnd.groove-tool-message,,,en,application,,
application/vnd.groove-tool-template,,,en,application,,
application/vnd.groove-vcard,,,en,application,,
application/vnd.hal+json,,,en,application,,
application/vnd.hal+xml,,,en,application,,
application/vnd.HandHeld-Entertainment+xml,,,en,application,,
application/vnd.hbci,,,en,application,,
application/vnd.hc+json,,,en,application,,
application/vnd.hcl-bireports,,,en,application,,
application/vnd.hdt,,,en,application,,
application/vnd.heroku+json,,,en,application,,
application/vnd.hhe.lesson-player,,,en,application,,
application/vnd.hp-HPGL,,,en,application,,
application/vnd.hp-hpid,,,en,application,,
application/vnd.hp-hps,,,en,application,,
application/vnd.hp-jlyt,,,en,application,,
application/vnd.hp-PCL,,,en,application,,
application/vnd.hp-PCLXL,,,en,application,,
application/vnd.httphone,,,en,application,,
application/vnd.hydrostatix.sof-data,,,en,application,,
application/vnd.hyper-item+json,,,en,application,,
application/vnd.hyperdrive+json,,,en,application,,
application/vnd.hzn-3d-crossword,,,en,application,,
application/vnd.ibm.afplinedata,,,en,application,,
application/vnd.ibm.electronic-media,,,en,application,,
application/vnd.ibm.MiniPay,,,en,application,,
application/vnd.ibm.modcap,,,en,application,,
application/vnd.ibm.rights-management,,,en,application,,
application/vnd.ibm.secure-container,,,en,application,,
application/vnd.iccprofile,,,en,application,,
application/vnd.ieee.1905,,,en,application,,
application/vnd.igloader,,,en,application,,
application/vnd.imagemeter.folder+zip,,,en,application,,
application/vnd.imagemeter.image+zip,,,en,application,,
application/vnd.immervision-ivp,,,en,application,,
application/vnd.immervision-ivu,,,en,application,,
application/vnd.ims.imsccv1p1,,,en,application,,
