code,name,description,language,category,category-name,category-description
ANCH,anchorage,an area where vessels may anchor,en,H,Hydrographic,
RDA,ancient road,the remains of a road used by ancient cultures,en,R,Streets/Highways/Roads,
ANS,ancient site,"a place where archeological remains, old structures, or cultural artifacts are located",en,S,Spot Features,
WALLA,ancient wall,the remains of a linear defensive stone structure,en,S,Spot Features,
BLDA,apartment building,a building containing several individual apartments,en,S,Spot Features,
AQC,aquaculture facility,"facility or area for the cultivation of aquatic animals and plants, especially fish, shellfish, and seaweed, in natural or controlled marine or freshwater environments; underwater agriculture",en,S,Spot Features,
CNLA,aqueduct,a conduit used to carry water,en,H,Hydrographic,
ARCH,arch,a natural or man-made structure in the form of an arch,en,S,Spot Features,
LAND,Arctic land,a tract of land in the Arctic,en,L,Area,
AREA,area,a tract of land without homogeneous character or boundaries,en,L,Area,
ISLF,artificial island,"an island created by landfill or diking and filling in a wetland, bay, or lagoon",en,T,Hypsographic,
RNGA,artillery range,a tract of land used for artillery firing practice,en,L,Area,
ASPH,asphalt lake,a small basin containing naturally occurring asphalt,en,T,Hypsographic,
ASTR,astronomical station,a point on the earth whose position has been determined by observations of celestial bodies,en,S,Spot Features,
ASYL,asylum,a facility where the insane are cared for and protected,en,S,Spot Features,
ATHF,athletic field,"a tract of land used for playing team sports, and athletic track and field events",en,S,Spot Features,
ATOL,atoll(s),a ring-shaped coral reef which has closely spaced islands on it encircling a lagoon,en,T,Hypsographic,
CTRA,atomic center,a facility where atomic research is carried out,en,S,Spot Features,
BDLD,badlands,"an area characterized by a maze of very closely spaced, deep, narrow, steep-sided ravines, and sharp crests and pinnacles",en,T,Hypsographic,
BSTN,baling station,a facility for baling agricultural products,en,S,Spot Features,
ESTB,banana plantation,an estate that specializes in the growing of bananas,en,S,Spot Features,
BAN,bank,"an establishment for the custody, loan, exchange or issue of money, for the extension of credit, and for facilitating the transmission of funds",en,S,Spot Features,
BNK,bank(s),"an elevation, typically located on a shelf, over which the depth of water is relatively shallow but sufficient for most surface navigation",en,H,Hydrographic,
BAR,bar,"a shallow ridge or mound of coarse unconsolidated material in a stream channel, at the mouth of a stream, estuary, or lagoon and in the wave-break zone along coasts",en,T,Hypsographic,
BRKS,barracks,a building for lodging military personnel,en,S,Spot Features,
BTL,battlefield,a site of a land battle of historical importance,en,L,Area,
BAY,bay,"a coastal indentation between two capes or headlands, larger than a cove but smaller than a gulf",en,H,Hydrographic,
BAYS,bays,"coastal indentations between two capes or headlands, larger than a cove but smaller than a gulf",en,H,Hydrographic,
BCH,beach,a shore zone of coarse unconsolidated sediment that extends from the low-water line to the highest reach of storm waves,en,T,Hypsographic,
RDGB,beach ridge,"a ridge of sand just inland and parallel to the beach, usually in series",en,T,Hypsographic,
BCHS,beaches,a shore zone of coarse unconsolidated sediment that extends from the low-water line to the highest reach of storm waves,en,T,Hypsographic,
BCN,beacon,a fixed artificial navigation mark,en,S,Spot Features,
BNCH,bench,"a long, narrow bedrock platform bounded by steeper slopes above and below, usually overlooking a waterbody",en,T,Hypsographic,
BGHT,bight(s),an open body of water forming a slight recession in a coastline,en,H,Hydrographic,
BLHL,blowhole(s),a hole in coastal rock through which sea water is forced by a rising tide or waves and spurted through an outlet into the air,en,T,Hypsographic,
BLOW,blowout(s),"a small depression in sandy terrain, caused by wind erosion",en,T,Hypsographic,
BTYD,boatyard,"a waterside facility for servicing, repairing, and building small vessels",en,S,Spot Features,
BOG,bog(s),"a wetland characterized by peat forming sphagnum moss, sedge, and other acid-water plants",en,H,Hydrographic,
PSTB,border post,a post or station at an international boundary for the regulation of movement of people and goods,en,S,Spot Features,
BLDR,boulder field,"a high altitude or high latitude bare, flat area covered with large angular rocks",en,T,Hypsographic,
BP,boundary marker,a fixture marking a point along a boundary,en,S,Spot Features,
BRKW,breakwater,a structure erected to break the force of waves at the entrance to a harbor or port,en,S,Spot Features,
MFGB,brewery,one or more buildings where beer is brewed,en,S,Spot Features,
BDG,bridge,"a structure erected across an obstacle such as a stream, road, etc., in order to carry roads, railroads, and pedestrians across",en,S,Spot Features,
ZNB,buffer zone,a zone recognized as a buffer between two nations in which military presence is minimal or absent,en,A,Administrative Region,
BLDG,building(s),"a structure built for permanent use, as a house, factory, etc.",en,S,Spot Features,
BUR,burial cave(s),a cave used for human burials,en,S,Spot Features,
BUSH,bush(es),a small clump of conspicuous bushes in an otherwise bare area,en,V,Vegetation,
CTRB,business center,a place where a number of businesses are located,en,L,Area,
BUTE,butte(s),"a small, isolated, usually flat-topped hill with steep sides",en,T,Hypsographic,
CARN,cairn,a heap of stones erected as a landmark or for other purposes,en,S,Spot Features,
CLDA,caldera,a depression measuring kilometers across formed by the collapse of a volcanic mountain,en,T,Hypsographic,
CMP,camp(s),"a site occupied by tents, huts, or other shelters for temporary use",en,S,Spot Features,
CNL,canal,an artificial watercourse,en,H,Hydrographic,
CNLB,canal bend,a conspicuously curved or bent section of a canal,en,H,Hydrographic,
TNLC,canal tunnel,a tunnel through which a canal passes,en,H,Hydrographic,
STMC,canalized stream,"a stream that has been substantially ditched, diked, or straightened",en,H,Hydrographic,
MFGC,cannery,a building where food items are canned,en,S,Spot Features,
CNYN,canyon,"a deep, narrow valley with steep sides cutting into a plateau or mountainous area",en,T,Hypsographic,
CAPE,cape,"a land area, more prominent than a point, projecting into the sea and marking a notable change in coastal direction",en,T,Hypsographic,
PPLC,capital of a political entity,capital of a political entity,en,P,Populated Place,
RTE,caravan route,the route taken by caravans,en,R,Streets/Highways/Roads,
CSNO,casino,"a building used for entertainment, especially gambling",en,S,Spot Features,
CSTL,castle,a large fortified building or set of buildings,en,S,Spot Features,
TNKD,cattle dipping tank,a small artificial pond used for immersing cattle in chemically treated water for disease control,en,S,Spot Features,
CSWY,causeway,a raised roadway across wet ground or shallow water,en,R,Streets/Highways/Roads,
CAVE,cave(s),"an underground passageway or chamber, or cavity on the side of a cliff",en,S,Spot Features,
CMTY,cemetery,a burial place or ground,en,S,Spot Features,
CHN,channel,"the deepest part of a stream, bay, lagoon, or strait, through which the main current flows",en,H,Hydrographic,
MNCR,chrome mine(s),a mine where chrome ore is extracted,en,S,Spot Features,
CH,church,a building for public Christian worship,en,S,Spot Features,
CRQ,cirque,a bowl-like hollow partially surrounded by cliffs or steep slopes at the head of a glaciated valley,en,T,Hypsographic,
CRQS,cirques,bowl-like hollows partially surrounded by cliffs or steep slopes at the head of a glaciated valley,en,T,Hypsographic,
CLG,clearing,an area in a forest with trees removed,en,L,Area,
CFT,cleft(s),"a deep narrow slot, notch, or groove in a coastal cliff",en,T,Hypsographic,
CLF,cliff(s),"a high, steep to perpendicular slope overlooking a waterbody or lower area",en,T,Hypsographic,
HSPC,clinic,a medical facility associated with a hospital for outpatients,en,S,Spot Features,
MNC,coal mine(s),a mine where coal is extracted,en,S,Spot Features,
COLF,coalfield,a region in which coal deposits of possible economic value occur,en,L,Area,
CST,coast,a zone of variable width straddling the shoreline,en,L,Area,
STNC,coast guard station,a facility from which the coast is guarded by armed vessels,en,S,Spot Features,
GRVC,coconut grove,a planting of coconut trees,en,V,Vegetation,
SCHC,college,the grounds and buildings of an institution of higher learning,en,S,Spot Features,
CMN,common,a park or pasture for community use,en,L,Area,
COMC,communication center,"a facility, including buildings, antennae, towers and electronic equipment for receiving and transmitting information",en,S,Spot Features,
CTRCM,community center,a facility for community recreation and other activities,en,S,Spot Features,
CNS,concession area,"a lease of land by a government for economic development, e.g., mining, forestry",en,L,Area,
CONE,cone(s),a conical landform composed of mud or volcanic material,en,T,Hypsographic,
CNFL,confluence,a place where two or more streams or intermittent streams flow together,en,H,Hydrographic,
CRSU,continental rise,a gentle slope rising from oceanic depths towards the foot of a continental slope,en,U,Undersea,
CVNT,convent,a building where a community of nuns lives in seclusion,en,S,Spot Features,
MNCU,copper mine(s),a mine where copper ore is extracted,en,S,Spot Features,
MFGCU,copper works,a facility for processing copper ore,en,S,Spot Features,
RFC,coral reef(s),a surface-navigation hazard composed of coral,en,H,Hydrographic,
CRRL,corral(s),a pen or enclosure for confining or capturing animals,en,S,Spot Features,
CRDR,corridor,a strip or area of land having significance as an access way,en,T,Hypsographic,
ESTC,cotton plantation,an estate specializing in the cultivation of cotton,en,S,Spot Features,
HSEC,country house,"a large house, mansion, or chateau, on a large estate",en,S,Spot Features,
CTHSE,courthouse,a building in which courts of law are held,en,S,Spot Features,
COVE,cove(s),"a small coastal indentation, smaller than a bay",en,H,Hydrographic,
LKC,crater lake,a lake in a crater or caldera,en,H,Hydrographic,
LKSC,crater lakes,lakes in a crater or caldera,en,H,Hydrographic,
CRTR,crater(s),a generally circular saucer or bowl-shaped depression caused by volcanic or meteorite explosive action,en,T,Hypsographic,
CUET,cuesta(s),an asymmetric ridge formed on tilted strata,en,T,Hypsographic,
CULT,cultivated area,an area under cultivation,en,V,Vegetation,
CRNT,current,a horizontal flow of water in a given direction with uniform velocity,en,H,Hydrographic,
CSTM,customs house,"a building in a port where customs and duties are paid, and where vessels are entered and cleared",en,S,Spot Features,
PSTC,customs post,a building at an international boundary where customs and duties are paid on goods,en,S,Spot Features,
CUTF,cutoff,a channel formed as a result of a stream cutting through a meander neck,en,H,Hydrographic,
DARY,dairy,"a facility for the processing, sale and distribution of milk or milk products",en,S,Spot Features,
DAM,dam,a barrier constructed across a stream to impound water,en,S,Spot Features,
DEPU,deep,"a localized deep area within the confines of a larger feature, such as a trough, basin or trench",en,U,Undersea,
